,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
26,62018,SS,0.0194,0.0203,0.039,0.0626,0.0506,0.0388,0.0296,0.0216,0.1085,0.436,0.5512,0.5987,0.5943,0.6444,0.6043,0.5192,0.5629,0.5647,0.508,0.166,0.2123,0.2494,0.2826,0.2916,0.296,0.2626,0.0637,0.0942,0.1095,0.1228,0.0993,0.0819
27,36418,SS,0.0155,0.016,0.0257,0.0386,0.0303,0.0239,0.0199,0.0159,0.0651,0.328,0.4447,0.4841,0.4684,0.5115,0.4821,0.3964,0.4311,0.4385,0.3941,0.1194,0.1513,0.177,0.2022,0.211,0.2127,0.1869,0.0475,0.0677,0.0773,0.0885,0.069,0.0567
28,29250,SS,0.0132,0.012,0.021,0.0331,0.0254,0.0201,0.0148,0.0101,0.0485,0.2233,0.2957,0.3255,0.3199,0.3572,0.3384,0.2771,0.3004,0.305,0.2725,0.0785,0.099,0.1214,0.1401,0.1457,0.1477,0.1298,0.0299,0.0432,0.0536,0.0623,0.0479,0.039
29,24130,SS,0.0114,0.011,0.0201,0.0307,0.0236,0.0198,0.0152,0.0104,0.0534,0.2492,0.3329,0.37,0.3611,0.3996,0.377,0.3005,0.33,0.3326,0.2959,0.0828,0.1058,0.1263,0.1452,0.1508,0.1541,0.1349,0.0308,0.0463,0.0538,0.0619,0.0487,0.0382
30,37442,SS,0.0135,0.0131,0.0242,0.0333,0.0299,0.0269,0.0222,0.0158,0.0529,0.1696,0.2242,0.2529,0.2463,0.279,0.264,0.2025,0.228,0.2326,0.2058,0.0488,0.0651,0.0799,0.093,0.0981,0.0997,0.0846,0.0184,0.028,0.034,0.0377,0.0308,0.0241
31,2370,SS,0.0035,0.0021,0.0035,0.0056,0.0031,0.002,0.0009,0.0001,0.0084,0.0807,0.1278,0.149,0.1418,0.1727,0.1663,0.118,0.1376,0.1442,0.1236,0.0202,0.0297,0.0395,0.0469,0.0502,0.0529,0.0447,0.0066,0.0112,0.0135,0.0162,0.0142,0.0107
32,47682,SS,0.0261,0.0256,0.0459,0.0709,0.0564,0.0444,0.0352,0.027,0.1192,0.5015,0.6409,0.6966,0.68,0.7424,0.7018,0.5848,0.6359,0.6392,0.5757,0.189,0.2391,0.2797,0.3186,0.3282,0.335,0.2962,0.0737,0.1093,0.1271,0.1419,0.1157,0.0936
33,14914,SS,0.0267,0.0301,0.0694,0.111,0.0895,0.0681,0.0489,0.0304,0.17,0.5883,0.716,0.7562,0.7195,0.7866,0.7396,0.5958,0.6443,0.6467,0.5743,0.1738,0.2241,0.2672,0.3062,0.3195,0.325,0.2902,0.0651,0.1001,0.1213,0.1352,0.1098,0.088
34,38466,SS,0.0277,0.028,0.0435,0.061,0.0509,0.0421,0.0346,0.0263,0.0864,0.4371,0.6099,0.6524,0.6127,0.6789,0.6398,0.4912,0.5365,0.5385,0.4802,0.1298,0.1671,0.1974,0.2282,0.239,0.2445,0.2141,0.0471,0.0725,0.0868,0.0985,0.0757,0.0619
35,52502,SS,0.0246,0.027,0.0469,0.0672,0.0575,0.0494,0.0428,0.034,0.0969,0.286,0.3506,0.3857,0.3804,0.42,0.3962,0.3343,0.3633,0.3674,0.3297,0.1166,0.1455,0.1714,0.1963,0.2048,0.2109,0.1901,0.0576,0.0775,0.0936,0.1008,0.0822,0.0661
